Actual,Predictions
4,"[2.71932858e-08 1.63583063e-05 8.11530398e-08 8.13427263e-08
 9.99849319e-01 2.09196465e-08 2.95659419e-07 1.17409604e-06
 1.12240275e-04 2.04005119e-05]"
4,"[1.53656723e-11 3.48264876e-07 1.08147366e-10 6.50291349e-11
 9.99998689e-01 1.52463375e-10 2.93901170e-09 7.34279809e-07
 5.99024519e-09 2.33002368e-07]"
6,"[2.2909806e-08 1.0499337e-09 5.1993532e-10 6.6827516e-10 2.1682203e-09
 2.1849886e-05 9.9997783e-01 9.6669493e-13 3.5983064e-07 3.8928361e-10]"
3,"[1.7265840e-10 9.3300558e-09 2.4025235e-08 9.9999976e-01 2.6115193e-11
 1.4207528e-07 2.5325514e-12 8.4832932e-09 7.1077856e-08 2.1661226e-09]"
5,"[6.5568376e-15 1.9747992e-13 2.7934953e-16 9.9930197e-09 3.5624251e-14
 1.0000000e+00 1.8027962e-10 1.3916971e-16 4.2040992e-11 1.5236800e-09]"
5,"[1.5352138e-10 8.7374248e-12 1.3611626e-13 5.7238957e-08 5.3383742e-11
 1.0000000e+00 2.0742550e-09 7.2581012e-12 1.2212147e-08 4.0088302e-09]"
6,"[6.21452712e-09 4.70523380e-14 5.34567363e-16 7.44972889e-16
 4.43693693e-07 1.20379315e-08 9.99999523e-01 6.43567904e-16
 7.17242377e-10 2.03635268e-11]"
0,"[1.0000000e+00 1.1134051e-09 9.8054909e-10 1.0937525e-12 5.5394071e-11
 1.9071382e-10 9.1676694e-11 1.5747770e-10 3.8757140e-09 1.2352254e-09]"
4,"[1.2692278e-12 9.6534389e-09 6.0165805e-12 3.9390377e-13 1.0000000e+00
 5.4875601e-12 1.5982435e-10 3.0361120e-09 1.5791902e-09 9.2696606e-09]"
1,"[6.7735031e-09 1.0000000e+00 2.0774038e-08 1.0240035e-11 2.0522020e-09
 9.7363861e-10 1.1819566e-08 5.1151350e-08 1.5605250e-08 1.1127358e-10]"
9,"[5.6519505e-09 6.5566996e-10 6.9254695e-09 2.4132003e-08 2.8654829e-05
 1.7905082e-08 8.2534546e-10 2.3067098e-06 1.9527127e-07 9.9996877e-01]"
5,"[1.4117492e-09 4.1112251e-09 7.9005143e-11 3.8134449e-06 2.0802641e-08
 9.9997020e-01 9.9518893e-08 1.7674943e-09 2.5499952e-05 4.1982213e-07]"
7,"[1.5674794e-07 8.3480518e-06 5.8446247e-05 3.7822288e-06 8.6339398e-09
 8.8483738e-08 5.5083390e-12 9.9992847e-01 5.2602093e-07 8.8825658e-08]"
8,"[1.0921723e-12 9.3099451e-14 1.0224304e-07 5.7813638e-09 4.9555002e-15
 1.7220118e-11 1.1156800e-12 3.3956216e-14 9.9999988e-01 3.9175004e-11]"
9,"[1.9593026e-05 3.8832749e-04 4.2146958e-08 3.9584324e-05 5.0611965e-02
 3.9546269e-01 1.6010812e-04 1.0755761e-02 7.0482520e-03 5.3551364e-01]"
3,"[6.80893999e-15 1.12195385e-10 6.55215945e-06 9.99993086e-01
 3.39787416e-13 1.10249476e-10 1.08559930e-13 2.21465849e-11
 3.40437850e-07 1.11829357e-11]"
7,"[6.9431781e-13 4.9013255e-07 3.6349907e-06 5.7558768e-06 8.1102576e-07
 2.9330702e-10 9.5623943e-12 9.9998403e-01 5.2921146e-06 2.7757174e-08]"
4,"[7.0665256e-09 4.2929582e-04 1.8266957e-07 2.4548126e-07 9.9944109e-01
 1.7785597e-07 5.3902447e-08 3.0171281e-05 1.0698117e-06 9.7676391e-05]"
6,"[7.9207297e-07 4.1697193e-12 6.1482777e-11 2.1555941e-12 6.8074007e-07
 3.9509306e-08 9.9999845e-01 1.4041754e-13 1.1315487e-07 4.2631405e-09]"
4,"[1.7236432e-09 1.5922263e-06 3.9907411e-09 1.2998861e-09 9.9992156e-01
 7.6047957e-07 8.9334591e-08 1.6745540e-07 7.1320810e-06 6.8651214e-05]"
3,"[8.3127161e-15 5.4397719e-11 1.3526551e-10 1.0000000e+00 1.4358620e-14
 1.3570236e-08 1.4200036e-13 1.1423535e-12 4.5601962e-09 6.9235263e-11]"
0,"[9.9999809e-01 5.6388848e-12 1.4229090e-07 1.9222896e-11 1.7644657e-08
 2.4027166e-08 6.6231358e-09 3.0074672e-09 4.7626674e-08 1.6946741e-06]"
7,"[9.0182965e-08 1.2295625e-07 4.3885643e-04 7.0137685e-05 1.4367605e-08
 3.0948894e-07 6.9195441e-11 9.9948776e-01 2.1600258e-06 4.8305708e-07]"
0,"[1.0000000e+00 7.6179346e-13 1.7611253e-10 1.7339535e-14 1.6428273e-10
 3.3332146e-12 8.1008013e-11 1.0405493e-12 3.6777796e-11 2.3992397e-09]"
2,"[1.05225636e-13 4.83782656e-15 1.00000000e+00 1.69872075e-10
 4.81967537e-18 7.58019864e-15 2.42253425e-17 2.14544853e-13
 1.48848314e-13 1.66226007e-16]"
9,"[5.9181451e-07 6.2522020e-07 8.3454774e-04 7.8967205e-05 1.0834976e-06
 1.5008612e-06 1.1178701e-08 1.9251040e-05 9.7590202e-01 2.3161320e-02]"
1,"[4.3839337e-09 9.9999988e-01 5.7294491e-10 2.9278555e-11 4.6017618e-08
 3.4731731e-09 1.3941787e-08 1.2335164e-08 2.0817945e-08 6.2675465e-10]"
7,"[2.3474207e-15 1.7965300e-08 4.5594741e-09 7.0855566e-09 7.9798930e-08
 4.9165283e-13 2.0157456e-14 9.9999988e-01 1.0197652e-09 1.2315170e-10]"
3,"[1.3180697e-16 5.9437323e-11 1.2444324e-11 1.0000000e+00 4.0452561e-15
 2.8589348e-08 1.1433266e-14 1.9969107e-14 1.1550419e-11 3.3556046e-12]"
2,"[7.0665365e-08 7.1246504e-08 9.9994922e-01 1.2627824e-05 8.4661461e-10
 1.3845280e-09 4.4748960e-10 3.7896389e-05 6.3575818e-08 1.2341829e-09]"
9,"[5.3165000e-05 1.8263787e-04 1.3336650e-03 4.4539454e-05 3.5262639e-03
 3.5225426e-06 1.9461224e-05 4.8070715e-04 7.8323054e-01 2.1112555e-01]"
7,"[4.9285234e-05 1.0307615e-04 1.6672645e-02 4.8601534e-03 1.5450056e-06
 2.2627908e-05 1.4374581e-08 9.7759330e-01 6.4044999e-04 5.6952780e-05]"
7,"[3.3898973e-09 8.1691047e-05 2.4089036e-07 2.7592188e-08 4.6207955e-08
 4.9350124e-08 2.7840330e-12 9.9991798e-01 5.4330584e-09 2.3044806e-09]"
6,"[8.8055412e-09 5.6693007e-13 6.5337471e-12 6.1923280e-13 2.0551841e-10
 7.5915239e-07 9.9999928e-01 3.7272164e-15 2.7442206e-09 1.2053562e-10]"
2,"[1.1306020e-13 7.7365270e-09 9.9999988e-01 1.5290529e-07 4.8829552e-11
 3.7621932e-12 7.2563284e-12 3.5158905e-09 2.3710315e-11 2.6631364e-13]"
7,"[4.9354874e-08 9.3519920e-05 2.4459084e-06 8.8575894e-07 2.0074022e-07
 5.9204143e-07 1.3004176e-10 9.9990177e-01 2.6585747e-07 1.6510363e-07]"
8,"[9.4360381e-13 7.0112279e-16 5.8672082e-14 1.4256564e-09 3.3344646e-13
 6.8384637e-08 2.1158172e-07 5.3639574e-16 9.9999976e-01 6.3537318e-12]"
4,"[8.59272614e-13 1.19057766e-07 1.08856299e-10 5.53921631e-11
 9.99999881e-01 9.99639694e-12 4.14786844e-10 4.80206275e-08
 4.02079330e-08 1.04668620e-08]"
7,"[2.5832160e-05 4.0789373e-04 9.6051279e-04 4.2768265e-04 5.4099714e-06
 1.4782389e-05 8.4653990e-08 9.9790704e-01 2.3927770e-04 1.1531887e-05]"
3,"[1.5562988e-09 1.3865758e-06 4.4417782e-05 9.9995124e-01 1.4145424e-08
 2.4348941e-07 1.8288187e-09 5.4784175e-07 2.0629816e-06 6.1599086e-09]"
6,"[2.2426835e-10 4.8307566e-14 5.6706647e-14 1.1841044e-16 1.3402465e-09
 1.9305246e-10 1.0000000e+00 1.4399278e-16 7.2328428e-11 8.5107268e-14]"
1,"[2.8930389e-08 9.9999082e-01 1.8076072e-06 9.2103122e-08 2.8503331e-08
 1.7511437e-07 4.1388221e-06 3.0020783e-07 2.7476742e-06 3.4164924e-09]"
3,"[4.2425144e-15 3.6607273e-13 1.5476219e-12 1.0000000e+00 4.2348941e-17
 4.6046051e-09 4.2929964e-16 2.5714487e-15 7.4274302e-12 1.1964274e-12]"
6,"[5.0819099e-10 5.6400316e-13 1.5140507e-12 4.5023753e-13 1.9742444e-10
 2.1593718e-07 9.9999976e-01 1.8450785e-15 1.3590222e-09 5.8099745e-12]"
9,"[2.3427565e-06 1.9244733e-05 4.4812223e-05 1.6779323e-04 1.7677393e-02
 4.3119999e-05 2.0858428e-05 1.1760616e-03 1.4768241e-01 8.3316600e-01]"
3,"[8.6512508e-10 4.5179212e-07 1.8809491e-06 9.9999607e-01 7.6383583e-10
 6.4039421e-07 3.8893354e-11 2.8719803e-08 7.1886120e-07 1.9252488e-07]"
1,"[1.6082117e-07 9.9997723e-01 2.1419022e-07 1.2746448e-09 1.7070579e-05
 5.6192921e-08 2.8121299e-06 1.0923940e-07 2.3328944e-06 6.9098839e-08]"
4,"[2.3925078e-05 2.1120463e-04 1.2743095e-04 4.9615560e-06 3.8086039e-01
 5.0491395e-05 3.5662190e-03 7.6561118e-05 6.1494315e-01 1.3566998e-04]"
1,"[3.4419495e-10 9.9999917e-01 8.8597032e-09 2.1553730e-09 2.8831684e-07
 3.3328797e-09 4.7743986e-11 5.9923400e-07 3.9428989e-09 1.9333955e-08]"
7,"[1.11808424e-10 1.08389813e-05 7.07000028e-04 4.61788794e-08
 9.70201313e-07 1.14314586e-10 2.30868191e-09 9.99199212e-01
 8.19301786e-05 1.95309213e-09]"
6,"[3.90322469e-07 4.40251958e-12 1.21278605e-08 4.89031766e-11
 3.53772522e-09 5.45960665e-06 9.99994040e-01 4.19080156e-14
 9.22423027e-08 1.38641685e-08]"
9,"[2.0369076e-07 4.3832111e-09 7.6213631e-08 1.3797585e-07 2.6125597e-05
 3.5169627e-08 1.4415887e-09 8.8135392e-05 1.1992203e-05 9.9987328e-01]"
6,"[3.9897832e-09 1.1180570e-13 1.6641311e-13 1.2991989e-14 1.7328910e-08
 6.8046719e-09 1.0000000e+00 5.3712710e-15 1.1610382e-08 1.3635442e-11]"
0,"[1.0000000e+00 1.6672074e-12 6.1458644e-10 4.0721227e-13 1.2769265e-10
 4.1782786e-11 1.7245644e-09 1.8095164e-11 4.5269247e-10 4.3608434e-08]"
5,"[6.44531637e-15 7.83127225e-14 9.39222624e-17 1.56406212e-08
 3.52134297e-15 1.00000000e+00 5.87719218e-13 1.24186910e-15
 1.06632404e-10 4.75824102e-10]"
4,"[1.2496336e-12 1.4670702e-06 9.2279143e-11 8.2096066e-11 9.9999821e-01
 1.9395081e-10 9.3614408e-11 3.3611386e-07 3.7246155e-09 1.5755141e-09]"
9,"[8.6048988e-07 3.1567023e-07 3.7061786e-06 1.7710225e-04 1.8291884e-04
 5.2101526e-02 1.1274590e-06 1.4294303e-04 4.2154666e-04 9.4696802e-01]"
9,"[7.6318294e-09 1.2344724e-09 1.1227899e-08 1.6153518e-06 9.1412414e-07
 7.9559510e-07 1.7698971e-08 3.0165511e-06 1.1492464e-04 9.9987864e-01]"
2,"[5.4540858e-11 9.5232676e-11 9.9999762e-01 2.3516902e-06 1.8477338e-11
 2.2926630e-10 1.4984023e-11 5.0347158e-08 2.1926017e-08 4.3682440e-11]"
1,"[1.0019227e-07 9.9995029e-01 5.1019121e-08 3.6092476e-10 1.4204007e-07
 4.2539398e-07 4.8311933e-05 7.9153615e-08 4.8389768e-07 7.1839303e-09]"
9,"[5.7659650e-09 3.9986917e-06 5.2234149e-08 6.9533876e-08 4.0006698e-03
 5.0744950e-07 1.1020543e-09 1.9842089e-05 1.6004815e-06 9.9597329e-01]"
4,"[3.2939033e-11 1.1919028e-07 8.5459284e-09 6.0815825e-11 9.9999368e-01
 5.5874655e-10 1.3942120e-07 3.4958334e-06 2.5615293e-06 1.0403767e-07]"
8,"[4.5262544e-12 3.3956312e-12 1.0718938e-08 2.6848687e-07 1.9427071e-13
 8.4843776e-09 7.6319789e-10 2.6048182e-15 9.9999976e-01 1.3292679e-10]"
7,"[1.6145273e-04 3.7533498e-01 9.9628640e-04 9.0952199e-07 8.9370253e-08
 3.4268598e-07 1.5741793e-07 6.2348956e-01 1.4356692e-05 1.8430375e-06]"
3,"[1.7457330e-15 6.0406874e-10 1.0617332e-10 9.9999988e-01 5.0158320e-13
 6.2270033e-08 2.8810986e-12 1.3717211e-12 1.4903553e-09 1.8083440e-10]"
9,"[4.88531393e-09 3.56664531e-10 2.45212273e-09 3.63082108e-07
 1.93861439e-07 8.20831261e-08 1.19232615e-08 8.39641814e-07
 1.28900443e-04 9.99869585e-01]"
7,"[8.1917051e-12 1.7735907e-06 1.0590429e-05 2.2111175e-07 2.6514451e-06
 5.5955698e-11 4.7210530e-12 9.9998450e-01 1.7951845e-07 4.6409685e-08]"
4,"[2.7977544e-06 9.2714836e-05 1.5326123e-07 5.4652241e-06 9.6558350e-01
 5.9206295e-04 5.5201524e-03 3.5787321e-05 3.8021619e-03 2.4365284e-02]"
4,"[5.5954460e-11 2.8678523e-06 1.1066076e-09 2.9806782e-10 9.9997377e-01
 1.0556221e-09 5.5126570e-08 6.3353770e-07 3.6466008e-07 2.2404500e-05]"
4,"[2.6301015e-11 5.2854449e-07 2.2691074e-10 3.9221168e-10 9.9999845e-01
 3.6987129e-09 2.3885971e-09 6.4043485e-07 4.5164864e-08 3.5057744e-07]"
9,"[5.1234338e-07 6.4389428e-07 4.1594035e-07 3.1193863e-06 6.6643224e-05
 3.9072637e-07 1.7090194e-07 2.8853104e-04 3.9046846e-04 9.9924904e-01]"
2,"[3.1481231e-09 2.0455603e-08 9.9991274e-01 7.3880336e-05 3.0048712e-09
 7.8236226e-09 1.8552322e-08 2.6188281e-06 1.0755016e-05 1.8625110e-08]"
5,"[1.6950696e-14 2.4692783e-13 5.6356157e-16 3.1557685e-09 9.0812645e-14
 1.0000000e+00 1.9528730e-12 6.3936461e-15 1.4221478e-09 7.3584605e-09]"
4,"[1.1366564e-08 7.6204269e-06 2.4129858e-07 7.3686106e-09 9.9902904e-01
 2.6508994e-07 1.0006971e-05 1.0187995e-05 5.6774402e-04 3.7483798e-04]"
7,"[2.3836277e-05 3.8918428e-02 5.4591399e-04 9.8055061e-06 4.6859773e-07
 6.1759270e-06 4.6030313e-09 9.6047843e-01 4.1757057e-06 1.2747876e-05]"
6,"[1.8207389e-09 1.1604779e-12 2.3380109e-11 8.5635499e-14 5.6735917e-08
 4.4366768e-09 1.0000000e+00 9.3495895e-15 8.8184843e-10 5.0514572e-11]"
7,"[4.8798112e-09 4.2362994e-05 1.6073776e-06 2.1942583e-08 3.5206376e-05
 2.0171404e-07 5.6192159e-11 9.9991751e-01 1.9617933e-06 1.1277638e-06]"
9,"[7.8763310e-07 2.7294089e-05 2.4755818e-07 8.2814758e-08 5.9585166e-03
 6.4768614e-07 1.0849349e-08 1.5807607e-05 3.2104894e-05 9.9396449e-01]"
0,"[9.99999881e-01 7.59016287e-12 1.65585572e-08 1.00164793e-10
 2.44849274e-09 3.81971832e-09 8.62755076e-11 1.93260588e-10
 1.05077085e-08 1.02286933e-07]"
5,"[4.9586725e-17 4.9664699e-14 1.2274130e-18 1.7494218e-09 5.2332131e-15
 1.0000000e+00 5.0555801e-12 2.6264267e-18 1.9929756e-11 7.9168151e-11]"
8,"[9.5802316e-13 8.0391274e-14 1.8602661e-12 6.2348446e-09 4.9304812e-14
 6.6136774e-10 4.5653981e-10 3.0567477e-15 1.0000000e+00 1.4861952e-11]"
5,"[3.3757595e-17 5.1877363e-15 1.2581127e-18 2.0303395e-10 3.1295332e-16
 1.0000000e+00 5.3105827e-13 1.4611074e-18 7.1478509e-12 1.7636026e-10]"
6,"[7.2300367e-08 1.0605180e-11 1.2919632e-10 5.7793607e-11 4.0694195e-09
 2.2115760e-06 9.9999762e-01 7.5687032e-13 3.9910312e-08 5.3056914e-09]"
6,"[1.3031081e-08 2.5408137e-12 1.9274728e-10 7.7689227e-12 2.9501995e-10
 8.4720989e-07 9.9999917e-01 8.6920630e-14 1.3046749e-08 9.0768426e-10]"
5,"[5.3030594e-13 9.3068452e-12 3.3547865e-14 4.7650664e-07 1.5459240e-13
 9.9999952e-01 1.9583833e-10 3.5526185e-14 8.9452339e-09 1.3664713e-09]"
7,"[6.1525229e-10 5.6821609e-06 5.7337464e-05 1.5921697e-04 3.5694432e-06
 2.3410072e-08 1.9457166e-10 9.9976486e-01 4.9470209e-06 4.3236919e-06]"
8,"[1.1175944e-13 1.6758335e-13 8.0890204e-11 1.1751696e-09 2.8857433e-14
 1.3367424e-11 4.6126410e-12 5.7753374e-16 1.0000000e+00 5.2220637e-12]"
1,"[2.6212941e-09 1.0000000e+00 1.2864023e-09 6.3650864e-12 2.8191873e-09
 3.0135927e-10 1.0720085e-08 1.6171711e-08 3.2663623e-09 9.2405417e-11]"
0,"[1.0000000e+00 3.3265807e-10 1.5276754e-09 5.2548032e-13 2.9228172e-11
 1.6573676e-10 1.8530402e-10 1.8750013e-10 3.1429079e-09 4.8301219e-10]"
1,"[1.4680176e-06 9.9998951e-01 2.0534411e-07 7.3606432e-09 9.1033094e-08
 6.6670026e-07 2.1042624e-06 5.4035919e-08 5.8424757e-06 9.2741077e-09]"
6,"[3.4860140e-10 2.3023361e-13 3.8369234e-12 1.7095922e-15 3.1377944e-08
 2.7024236e-10 1.0000000e+00 5.5969020e-16 5.5314225e-12 7.4992573e-13]"
4,"[1.1670047e-08 7.9469424e-07 9.4233865e-09 7.5717266e-10 9.9805897e-01
 1.2401637e-07 9.3929077e-07 2.8903719e-07 1.1600137e-03 7.7881053e-04]"
6,"[8.7727109e-08 5.9549213e-11 1.6412643e-10 6.2704698e-12 7.3694157e-09
 1.8122428e-06 9.9999809e-01 2.7945589e-14 4.3223789e-08 9.3908763e-11]"
7,"[3.6055990e-08 7.0972128e-05 4.6931568e-06 1.0521760e-06 3.2985611e-06
 2.8045920e-07 1.6578992e-10 9.9991632e-01 1.4396472e-06 1.8905495e-06]"
3,"[1.8465057e-14 2.1871860e-11 2.2631289e-10 1.0000000e+00 2.8143112e-15
 6.3986888e-10 5.4502399e-15 1.5293997e-11 2.2249731e-09 7.5832752e-12]"
